Variable_FieldName,Acronym,Field_Type,Field_Label,"Choices, Calculations, OR Slider Labels",Unit
AADIS4,AADIS,not_calc," LSD, mushrooms, peyote, mescaline or other hallucinogens (acid, shrooms, Special K)","1, Never Used | 2, Once or Twice | 3, Several Times a Month | 4, Weekends Only | 5, Several Times a Week | 6, Daily | 7, Several Times Daily",
AADIS5,AADIS,not_calc," Amphetamines (speed, ecstasy, uppers,  crystal meth, Ice, Tina), or ritalin, concerta, or adderall without a prescription","1, Never Used | 2, Once or Twice | 3, Several Times a Month | 4, Weekends Only | 5, Several Times a Week | 6, Daily | 7, Several Times Daily",
AADIS6,AADIS,not_calc," Powder Cocaine (coke, blow)","1, Never Used | 2, Once or Twice | 3, Several Times a Month | 4, Weekends Only | 5, Several Times a Week | 6, Daily | 7, Several Times Daily",
AADIS7,AADIS,not_calc," Rock Cocaine (crack, rock, freebase)","1, Never Used | 2, Once or Twice | 3, Several Times a Month | 4, Weekends Only | 5, Several Times a Week | 6, Daily | 7, Several Times Daily",
AADIS8,AADIS,not_calc," Barbiturates (quaaludes, downers, ludes, blues, goofballs)","1, Never Used | 2, Once or Twice | 3, Several Times a Month | 4, Weekends Only | 5, Several Times a Week | 6, Daily | 7, Several Times Daily",
AADIS9,AADIS,not_calc, PCP (angel dust),"1, Never Used | 2, Once or Twice | 3, Several Times a Month | 4, Weekends Only | 5, Several Times a Week | 6, Daily | 7, Several Times Daily",
AADIS10,AADIS,not_calc," Heroin or other opiates (opium, morphine, oxycontin, codeine, smack, horse, cheese)","1, Never Used | 2, Once or Twice | 3, Several Times a Month | 4, Weekends Only | 5, Several Times a Week | 6, Daily | 7, Several Times Daily",
AADIS11,AADIS,not_calc," Inhalants (glue, gasoline, spray cans, paint, nitrous oxide, whippits, ether, chloroform, whiteout, rush, etc.)","1, Never Used | 2, Once or Twice | 3, Several Times a Month | 4, Weekends Only | 5, Several Times a Week | 6, Daily | 7, Several Times Daily",
AADIS12,AADIS,not_calc," Valium, xanax (xandies), ativan, benzos, GHB (ruffies) or other tranquilizers without a prescription","1, Never Used | 2, Once or Twice | 3, Several Times a Month | 4, Weekends Only | 5, Several Times a Week | 6, Daily | 7, Several Times Daily",
AQ1,AQ,not_calc,"I prefer to do things with others rather than on my own.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ2,AQ,not_calc,"I prefer to do things the same way over and over again.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ3,AQ,not_calc,"If I try to imagine something, I find it very easy to create a picture in my mind.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ4,AQ,not_calc,"I frequently get so strongly absorbed in one thing that I lose sight of other things.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ5,AQ,not_calc,"I often notice small sounds when others do not.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ6,AQ,not_calc,"I usually notice car number plates or similar strings of information.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ7,AQ,not_calc,"Other people frequently tell me that what I've said is impolite, even though I think it is polite.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ8,AQ,not_calc,"When I'm reading a story, I can easily imagine what the characters might look like.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ9,AQ,not_calc,"I am fascinated by dates.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ10,AQ,not_calc,"In a social group, I can easily keep track of several different people's conversations.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ11,AQ,not_calc,"I find social situations easy.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ12,AQ,not_calc,"I tend to notice details that others do not.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ13,AQ,not_calc,"I would rather go to a library than to a party.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ14,AQ,not_calc,"I find making up stories easy.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ15,AQ,not_calc,"I find myself drawn more strongly to people than to things.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ16,AQ,not_calc,"I tend to have very strong interests, which I get upset about if I can't pursue.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ17,AQ,not_calc,"I enjoy social chitchat.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ18,AQ,not_calc,"When I talk, it isn't always easy for others to get a word in edgewise.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ19,AQ,not_calc,"I am fascinated by numbers.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ20,AQ,not_calc,"When I'm reading a story, I find it difficult to work out the characters' intentions.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ21,AQ,not_calc,"I don't particularly enjoy reading fiction.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ22,AQ,not_calc,"I find it hard to make new friends.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ23,AQ,not_calc,"I notice patterns in things all the time.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ24,AQ,not_calc,"I would rather go to the theater than to a museum.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ25,AQ,not_calc,"It does not upset me if my daily routine is disturbed.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ26,AQ,not_calc,"I frequently find that I don't know how to keep a conversation going.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ27,AQ,not_calc,"I find it easy to 'read between the lines' when someone is talking to me.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ28,AQ,not_calc,"I usually concentrate more on the whole picture, rather than on the small details.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ29,AQ,not_calc,"I am not very good at remembering phone numbers.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ30,AQ,not_calc,"I don't usually notice small changes in a situation or a person's appearance.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ31,AQ,not_calc,"I know how to tell if someone listening to me is getting bored.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ32,AQ,not_calc,"I find it easy to do more than one thing at once.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ33,AQ,not_calc,"When I talk on the phone, I'm not sure when it's my turn to speak.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ34,AQ,not_calc,"I enjoy doing things spontaneously.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ35,AQ,not_calc,"I enjoy doing things alone.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ36,AQ,not_calc,"I find it easy to work out what someone is thinking or feeling just by looking at their face.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ37,AQ,not_calc,"If there is an interruption, I can switch back to what I was doing very quickly.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ38,AQ,not_calc,"I am good at social chitchat.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ39,AQ,not_calc,"People often tell me that I keep going on and on about the same thing.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ40,AQ,not_calc,"When I was young, I used to enjoy playing games involving pretending with other children.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ41,AQ,not_calc,"I like to collect information about categories of things (e.g., types of cars, birds, trains, plants).,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ42,AQ,not_calc,"I find it difficult to imagine what it would be like to be someone else.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ43,AQ,not_calc,"I like to carefully plan any activities I participate in.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ44,AQ,not_calc,"I enjoy social occasions.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ45,AQ,not_calc,"I find it difficult to work out people's intentions.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ46,AQ,not_calc,"New situations make me anxious.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ47,AQ,not_calc,"I enjoy meeting new people.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ48,AQ,not_calc,"I am a good diplomat.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ49,AQ,not_calc,"I am not very good at remembering people's date of birth.,","0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
AQ50,AQ,not_calc,I find it very easy to play games with children that involve pretending.,"0, Strongly Disagree | 1, Disagree | 2, Neutral | 3, Agree | 4, Strongly Agree",
USIDep1,USIDep,not_calc,In the last 12 months have you personally been forced to buy cheaper food so that you could pay for other things you needed?,"1, Yes | 2, No",
USIDep2,USIDep,text,"In the last 12 months did you yourself receive payments from any of these benefit programs: Temporary Assistance to Needy Families (TANF), Earned Income Tax Credit (EITC), or a Housing Assistance program, (e.g.,Section 8 Housing voucher)?","1, Yes | 2, No",
USIDep3,USIDep,text,In the last 12 months have you personally put up with feeling cold in order to save on heating costs?,"1, Yes | 2, No",
USIDep4,USIDep,text,"In the last 12 months have you personally made use of food banks or government food programs because you did not have enough money for food? For example, did you get benefits from the Supplemental Nutrition Assistance Program (SNAP/EBT/Food stamps), or the Women, Infants and Children (WIC) food programs?","1, Yes | 2, No",
USIDep5,USIDep,text,In the last 12 months have you personally continued wearing shoes with holes because you could not afford replacement?,"1, Yes | 2, No",
USIDep6,USIDep,text,"In the last 12 months have you personally gone without fresh fruit and vegetables, often, so that you could pay for other things you needed?","1, Yes | 2, No",
USIDep7,USIDep,text,In the last 12 months have you personally received help in the form of clothes or money from a community organization (like a religious group or the Salvation Army)?,"1, Yes | 2, No",
USIDep8,USIDep,not_calc,"If you are less than 65 years old: In the last 12 months, have you been out of paid work at any time for more than one month?","1, Yes | 2, No | 3, I am more than 65 years old",
