Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
qualtrics_screener_info_qualify,screener_info_qualtrics,,descriptive,"Now that you have imported this participants information, please update the communication log! You can indicate that this participant qualifies, and should be contacted for their phone screening. You may also need to update their qualtrics payment information form if they are from the istartScreen2021 qualtrics page. ",,,,,,,[qualtrics_screener_qualify]='1',,,,,,
qualtrics_screener_info_notqualify,screener_info_qualtrics,,descriptive,STOP! This participant DOES NOT QUALIFY. Update the communication log that they do not qualify! You may also have to ay them for their completion of the qualtrics survey. ,,,,,,,[qualtrics_screener_qualify]='0',,,,,,
m6_followup_sent,screener_info_qualtrics,,radio,6 month follow-up sent?,"0, No | 1, Yes",,,,,,,,,,,,
m6_followup_sent_2,screener_info_qualtrics,,radio,6 month follow-up completed?,"0, No | 1, Yes",,,,,,,,,,,,
m6_followup_sent_3,screener_info_qualtrics,,radio,6 month follow-up paid?,"0, No | 3, No - raffle | 1, Yes - raffle | 2, Yes - flat rate",,,,,,,,,,,,
qualtrics_payment_total,qualtrics_payment_info,Payment Information for Qualtrics Survey Completion,text,Total payment for qualtrics Survey Completion,,,,,,,,,,,,,
qu_payment_sent,qualtrics_payment_info,,text,Date Payment Sent,,,,,,,,,,,,,
qu_ecode_amount,qualtrics_payment_info,,radio,How many links are needed?,"1, 1| 2,2|3,3|4,4|5,5|6,6|7,7|8,8|9,9|10,10",,,,,,,,,,,,
qu_amazon_ecode_1,qualtrics_payment_info,E-Code Info (for Appt 1 and 2 Receipt),text,Amazon link 1,,Copy and paste link.,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""1"" or [screening_process_arm_1][qu_ecode_amount] = ""2"" or [screening_process_arm_1][qu_ecode_amount] = ""3"" or [screening_process_arm_1][qu_ecode_amount] = ""4"" or [screening_process_arm_1][qu_ecode_amount] = ""5"" or [screening_process_arm_1][qu_ecode_amount] = ""6"" or [screening_process_arm_1][qu_ecode_amount] = ""7"" or [screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_amazon_ecode_2,qualtrics_payment_info,,text,Amazon link 2,,Copy and paste link.,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""2"" or [screening_process_arm_1][qu_ecode_amount] = ""3"" or [screening_process_arm_1][qu_ecode_amount] = ""4"" or [screening_process_arm_1][qu_ecode_amount] = ""5"" or [screening_process_arm_1][qu_ecode_amount] = ""6"" or [screening_process_arm_1][qu_ecode_amount] = ""7"" or [screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_amazon_ecode_3,qualtrics_payment_info,,text,Amazon link 3,,Copy and paste link.,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""3"" or [screening_process_arm_1][qu_ecode_amount] = ""4"" or [screening_process_arm_1][qu_ecode_amount] = ""5"" or [screening_process_arm_1][qu_ecode_amount] = ""6"" or [screening_process_arm_1][qu_ecode_amount] = ""7"" or [screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_amazon_ecode_4,qualtrics_payment_info,,text,Amazon link 4,,Copy and paste link.,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""4"" or [screening_process_arm_1][qu_ecode_amount] = ""5"" or [screening_process_arm_1][qu_ecode_amount] = ""6"" or [screening_process_arm_1][qu_ecode_amount] = ""7"" or [screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_amazon_ecode_5,qualtrics_payment_info,,text,Amazon link 5,,Copy and paste link.,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""5"" or [screening_process_arm_1][qu_ecode_amount] = ""6"" or [screening_process_arm_1][qu_ecode_amount] = ""7"" or [screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_amazon_ecode_6,qualtrics_payment_info,,text,Amazon link 6,,Copy and paste link.,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""6"" or [screening_process_arm_1][qu_ecode_amount] = ""7"" or [screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_amazon_ecode_7,qualtrics_payment_info,,text,Amazon link 7,,Copy and paste link.,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""7"" or [screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_amazon_ecode_8,qualtrics_payment_info,,text,Amazon link 8,,Copy and paste link.,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_amazon_ecode_9,qualtrics_payment_info,,text,Amazon link 9,,Copy and paste link.,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_amazon_ecode_10,qualtrics_payment_info,,text,Amazon link 10,,Copy and paste link.,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_amazon_ecode_11,qualtrics_payment_info,,text,Amazon link Dollar Amount 1,,Write the total dollar amount for specific link.,integer,0,99999,,"[screening_process_arm_1][qu_ecode_amount] = ""1"" or [screening_process_arm_1][qu_ecode_amount] = ""2"" or [screening_process_arm_1][qu_ecode_amount] = ""3"" or [screening_process_arm_1][qu_ecode_amount] = ""4"" or [screening_process_arm_1][qu_ecode_amount] = ""5"" or [screening_process_arm_1][qu_ecode_amount] = ""6"" or [screening_process_arm_1][qu_ecode_amount] = ""7"" or [screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_amazon_ecode_12,qualtrics_payment_info,,text,Amazon link Dollar Amount 2,,Write the total dollar amount for specific link.,integer,0,99999,,"[screening_process_arm_1][qu_ecode_amount] = ""2"" or [screening_process_arm_1][qu_ecode_amount] = ""3"" or [screening_process_arm_1][qu_ecode_amount] = ""4"" or [screening_process_arm_1][qu_ecode_amount] = ""5"" or [screening_process_arm_1][qu_ecode_amount] = ""6"" or [screening_process_arm_1][qu_ecode_amount] = ""7"" or [screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_amazon_ecode_13,qualtrics_payment_info,,text,Amazon link Dollar Amount 3,,Write the total dollar amount for specific link.,integer,0,99999,,"[screening_process_arm_1][qu_ecode_amount] = ""3"" or [screening_process_arm_1][qu_ecode_amount] = ""4"" or [screening_process_arm_1][qu_ecode_amount] = ""5"" or [screening_process_arm_1][qu_ecode_amount] = ""6"" or [screening_process_arm_1][qu_ecode_amount] = ""7"" or [screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_amazon_ecode_14,qualtrics_payment_info,,text,Amazon link Dollar Amount 4,,Write the total dollar amount for specific link.,integer,0,99999,,"[screening_process_arm_1][qu_ecode_amount] = ""4"" or [screening_process_arm_1][qu_ecode_amount] = ""5"" or [screening_process_arm_1][qu_ecode_amount] = ""6"" or [screening_process_arm_1][qu_ecode_amount] = ""7"" or [screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_amazon_ecode_15,qualtrics_payment_info,,text,Amazon link Dollar Amount 5,,Write the total dollar amount for specific link.,integer,0,99999,,"[screening_process_arm_1][qu_ecode_amount] = ""5"" or [screening_process_arm_1][qu_ecode_amount] = ""6"" or [screening_process_arm_1][qu_ecode_amount] = ""7"" or [screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_amazon_ecode_16,qualtrics_payment_info,,text,Amazon link Dollar Amount 6,,Write the total dollar amount for specific link.,integer,0,99999,,"[screening_process_arm_1][qu_ecode_amount] = ""6"" or [screening_process_arm_1][qu_ecode_amount] = ""7"" or [screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_amazon_ecode_17,qualtrics_payment_info,,text,Amazon link Dollar Amount 7,,Write the total dollar amount for specific link.,integer,0,99999,,"[screening_process_arm_1][qu_ecode_amount] = ""7"" or [screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_amazon_ecode_18,qualtrics_payment_info,,text,Amazon link Dollar Amount 8,,Write the total dollar amount for specific link.,integer,0,99999,,"[screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_amazon_ecode_19,qualtrics_payment_info,,text,Amazon link Dollar Amount 9,,Write the total dollar amount for specific link.,integer,0,99999,,"[screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_amazon_ecode_20,qualtrics_payment_info,,text,Amazon link Dollar Amount 10,,Write the total dollar amount for specific link.,integer,0,99999,,"[screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
payment_instructions,qualtrics_payment_info,,descriptive,"STOP! <P>Before you mark this form as complete, ""Save and Exit."" <p>Open the ""Participant Receipt Qualtrics"" and sign the witness signature. ""Save and Exit"" that form. <p>Return here, mark this form as complete! ",,,,,,,,,,,,,
qu_participant_receipt_1,participant_receipt_qualtrics,Project Director: David V Smith,text,Today's Date,,,date_ymd,,,,,,,,,,
qu_participant_receipt_2,participant_receipt_qualtrics,Participant Certification,descriptive,I have participated in a research project under the above-listed project director. I have received $[qualtrics_payment_total] in Amazon e-gift cards as compensation for my participation.,,,,,,,,,,,,,
qu_participant_receipt_3,participant_receipt_qualtrics,,text,Subject Name,,,,,,,,,,,,,
qu_participant_receipt_4,participant_receipt_qualtrics,,text,Participant Address,,,,,,,,,,,,,
qu_participant_receipt_5,participant_receipt_qualtrics,Amazon ecode links - Click on Link to Redeem,descriptive,Amazon link link 1: [qu_amazon_ecode_1],,,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""1"" or [screening_process_arm_1][qu_ecode_amount] = ""2"" or [screening_process_arm_1][qu_ecode_amount] = ""3"" or [screening_process_arm_1][qu_ecode_amount] = ""4"" or [screening_process_arm_1][qu_ecode_amount] = ""5"" or [screening_process_arm_1][qu_ecode_amount] = ""6"" or [screening_process_arm_1][qu_ecode_amount] = ""7"" or [screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_participant_receipt_6,participant_receipt_qualtrics,,descriptive,Amazon link link 2: [qu_amazon_ecode_2],,,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""2"" or [screening_process_arm_1][qu_ecode_amount] = ""3"" or [screening_process_arm_1][qu_ecode_amount] = ""4"" or [screening_process_arm_1][qu_ecode_amount] = ""5"" or [screening_process_arm_1][qu_ecode_amount] = ""6"" or [screening_process_arm_1][qu_ecode_amount] = ""7"" or [screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_participant_receipt_7,participant_receipt_qualtrics,,descriptive,Amazon link link 3: [qu_amazon_ecode_3],,,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""3"" or [screening_process_arm_1][qu_ecode_amount] = ""4"" or [screening_process_arm_1][qu_ecode_amount] = ""5"" or [screening_process_arm_1][qu_ecode_amount] = ""6"" or [screening_process_arm_1][qu_ecode_amount] = ""7"" or [screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_participant_receipt_8,participant_receipt_qualtrics,,descriptive,Amazon link link 4: [qu_amazon_ecode_4],,,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""4"" or [screening_process_arm_1][qu_ecode_amount] = ""5"" or [screening_process_arm_1][qu_ecode_amount] = ""6"" or [screening_process_arm_1][qu_ecode_amount] = ""7"" or [screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_participant_receipt_9,participant_receipt_qualtrics,,descriptive,Amazon link link 5: [qu_amazon_ecode_5],,,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""5"" or [screening_process_arm_1][qu_ecode_amount] = ""6"" or [screening_process_arm_1][qu_ecode_amount] = ""7"" or [screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_participant_receipt_10,participant_receipt_qualtrics,,descriptive,Amazon link link 6: [qu_amazon_ecode_6],,,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""6"" or [screening_process_arm_1][qu_ecode_amount] = ""7"" or [screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_participant_receipt_11,participant_receipt_qualtrics,,descriptive,Amazon link link 7: [qu_amazon_ecode_7],,,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""7"" or [screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_participant_receipt_12,participant_receipt_qualtrics,,descriptive,Amazon link link 8: [qu_amazon_ecode_8],,,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_participant_receipt_13,participant_receipt_qualtrics,,descriptive,Amazon link link 9: [qu_amazon_ecode_9],,,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_participant_receipt_14,participant_receipt_qualtrics,,descriptive,Amazon link link 10: [qu_amazon_ecode_10],,,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_participant_receipt_15,participant_receipt_qualtrics,Amazon ecode link  - Amount (in US Dollars),calc,Amazon link link 1 amount,[qu_amazon_ecode_11],,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""1"" or [screening_process_arm_1][qu_ecode_amount] = ""2"" or [screening_process_arm_1][qu_ecode_amount] = ""3"" or [screening_process_arm_1][qu_ecode_amount] = ""4"" or [screening_process_arm_1][qu_ecode_amount] = ""5"" or [screening_process_arm_1][qu_ecode_amount] = ""6"" or [screening_process_arm_1][qu_ecode_amount] = ""7"" or [screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_participant_receipt_16,participant_receipt_qualtrics,,calc,Amazon link link 2 amount,[qu_amazon_ecode_12],,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""2"" or [screening_process_arm_1][qu_ecode_amount] = ""3"" or [screening_process_arm_1][qu_ecode_amount] = ""4"" or [screening_process_arm_1][qu_ecode_amount] = ""5"" or [screening_process_arm_1][qu_ecode_amount] = ""6"" or [screening_process_arm_1][qu_ecode_amount] = ""7"" or [screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_participant_receipt_17,participant_receipt_qualtrics,,calc,Amazon link link 3 amount,[qu_amazon_ecode_13],,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""3"" or [screening_process_arm_1][qu_ecode_amount] = ""4"" or [screening_process_arm_1][qu_ecode_amount] = ""5"" or [screening_process_arm_1][qu_ecode_amount] = ""6"" or [screening_process_arm_1][qu_ecode_amount] = ""7"" or [screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_participant_receipt_18,participant_receipt_qualtrics,,calc,Amazon link link 4 amount,[qu_amazon_ecode_14],,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""4"" or [screening_process_arm_1][qu_ecode_amount] = ""5"" or [screening_process_arm_1][qu_ecode_amount] = ""6"" or [screening_process_arm_1][qu_ecode_amount] = ""7"" or [screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_participant_receipt_19,participant_receipt_qualtrics,,calc,Amazon link link 5 amount,[qu_amazon_ecode_15],,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""5"" or [screening_process_arm_1][qu_ecode_amount] = ""6"" or [screening_process_arm_1][qu_ecode_amount] = ""7"" or [screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_participant_receipt_20,participant_receipt_qualtrics,,calc,Amazon link link 6 amount,[qu_amazon_ecode_16],,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""6"" or [screening_process_arm_1][qu_ecode_amount] = ""7"" or [screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_participant_receipt_21,participant_receipt_qualtrics,,calc,Amazon link link 7 amount,[qu_amazon_ecode_17],,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""7"" or [screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_participant_receipt_22,participant_receipt_qualtrics,,calc,Amazon link link 8 amount,[qu_amazon_ecode_18],,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""8"" or [screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_participant_receipt_23,participant_receipt_qualtrics,,calc,Amazon link link 9 amount,[qu_amazon_ecode_19],,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""9"" or [screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_participant_receipt_24,participant_receipt_qualtrics,,calc,Amazon link link 10 amount,[qu_amazon_ecode_20],,,,,,"[screening_process_arm_1][qu_ecode_amount] = ""10""",,,,,,
qu_participant_receipt_25,participant_receipt_qualtrics,Signatures,file,Witness Signature,,This should be filled out by the research assistant. ,signature,,,,,,,,,,
qu_participant_receipt_26,participant_receipt_qualtrics,,file,Subject Signature,,This should be filled out by the participant. ,signature,,,,,y,,,,,
sb_number,snowball_payment_info,Payment Information for Snowball Completion,text,Number of Participants Recruited,,,integer,0,1000000,,,,,,,,
sb_recruits,snowball_payment_info,,notes,Participant IDs successfully recruited from Snowball,,,,,,,,,,,,,
snowball_payment_total,snowball_payment_info,,text,Total payment for Snowball,,$10 per participant who competes the study,,,,,,,,,,,
sb_payment_sent,snowball_payment_info,,text,Date Payment Sent,,,,,,,,,,,,,
sb_ecode_amount,snowball_payment_info,,radio,How many links are needed?,"1, 1| 2,2|3,3|4,4|5,5|6,6|7,7|8,8|9,9|10,10",,,,,,,,,,,,
sb_amazon_ecode_1,snowball_payment_info,E-Code Info (for Appt 1 and 2 Receipt),text,Amazon link 1,,Copy and paste link.,,,,,"[screening_process_arm_1][sb_ecode_amount] = ""1"" or [screening_process_arm_1][sb_ecode_amount] = ""2"" or [screening_process_arm_1][sb_ecode_amount] = ""3"" or [screening_process_arm_1][sb_ecode_amount] = ""4"" or [screening_process_arm_1][sb_ecode_amount] = ""5"" or [screening_process_arm_1][sb_ecode_amount] = ""6"" or [screening_process_arm_1][sb_ecode_amount] = ""7"" or [screening_process_arm_1][sb_ecode_amount] = ""8"" or [screening_process_arm_1][sb_ecode_amount] = ""9"" or [screening_process_arm_1][sb_ecode_amount] = ""10""",,,,,,
sb_amazon_ecode_2,snowball_payment_info,,text,Amazon link 2,,Copy and paste link.,,,,,"[screening_process_arm_1][sb_ecode_amount] = ""2"" or [screening_process_arm_1][sb_ecode_amount] = ""3"" or [screening_process_arm_1][sb_ecode_amount] = ""4"" or [screening_process_arm_1][sb_ecode_amount] = ""5"" or [screening_process_arm_1][sb_ecode_amount] = ""6"" or [screening_process_arm_1][sb_ecode_amount] = ""7"" or [screening_process_arm_1][sb_ecode_amount] = ""8"" or [screening_process_arm_1][sb_ecode_amount] = ""9"" or [screening_process_arm_1][sb_ecode_amount] = ""10""",,,,,,
sb_amazon_ecode_3,snowball_payment_info,,text,Amazon link 3,,Copy and paste link.,,,,,"[screening_process_arm_1][sb_ecode_amount] = ""3"" or [screening_process_arm_1][sb_ecode_amount] = ""4"" or [screening_process_arm_1][sb_ecode_amount] = ""5"" or [screening_process_arm_1][sb_ecode_amount] = ""6"" or [screening_process_arm_1][sb_ecode_amount] = ""7"" or [screening_process_arm_1][sb_ecode_amount] = ""8"" or [screening_process_arm_1][sb_ecode_amount] = ""9"" or [screening_process_arm_1][sb_ecode_amount] = ""10""",,,,,,
sb_amazon_ecode_4,snowball_payment_info,,text,Amazon link 4,,Copy and paste link.,,,,,"[screening_process_arm_1][sb_ecode_amount] = ""4"" or [screening_process_arm_1][sb_ecode_amount] = ""5"" or [screening_process_arm_1][sb_ecode_amount] = ""6"" or [screening_process_arm_1][sb_ecode_amount] = ""7"" or [screening_process_arm_1][sb_ecode_amount] = ""8"" or [screening_process_arm_1][sb_ecode_amount] = ""9"" or [screening_process_arm_1][sb_ecode_amount] = ""10""",,,,,,
sb_amazon_ecode_5,snowball_payment_info,,text,Amazon link 5,,Copy and paste link.,,,,,"[screening_process_arm_1][sb_ecode_amount] = ""5"" or [screening_process_arm_1][sb_ecode_amount] = ""6"" or [screening_process_arm_1][sb_ecode_amount] = ""7"" or [screening_process_arm_1][sb_ecode_amount] = ""8"" or [screening_process_arm_1][sb_ecode_amount] = ""9"" or [screening_process_arm_1][sb_ecode_amount] = ""10""",,,,,,
sb_amazon_ecode_6,snowball_payment_info,,text,Amazon link 6,,Copy and paste link.,,,,,"[screening_process_arm_1][sb_ecode_amount] = ""6"" or [screening_process_arm_1][sb_ecode_amount] = ""7"" or [screening_process_arm_1][sb_ecode_amount] = ""8"" or [screening_process_arm_1][sb_ecode_amount] = ""9"" or [screening_process_arm_1][sb_ecode_amount] = ""10""",,,,,,
sb_amazon_ecode_7,snowball_payment_info,,text,Amazon link 7,,Copy and paste link.,,,,,"[screening_process_arm_1][sb_ecode_amount] = ""7"" or [screening_process_arm_1][sb_ecode_amount] = ""8"" or [screening_process_arm_1][sb_ecode_amount] = ""9"" or [screening_process_arm_1][sb_ecode_amount] = ""10""",,,,,,
sb_amazon_ecode_8,snowball_payment_info,,text,Amazon link 8,,Copy and paste link.,,,,,"[screening_process_arm_1][sb_ecode_amount] = ""8"" or [screening_process_arm_1][sb_ecode_amount] = ""9"" or [screening_process_arm_1][sb_ecode_amount] = ""10""",,,,,,
sb_amazon_ecode_9,snowball_payment_info,,text,Amazon link 9,,Copy and paste link.,,,,,"[screening_process_arm_1][sb_ecode_amount] = ""9"" or [screening_process_arm_1][sb_ecode_amount] = ""10""",,,,,,
sb_amazon_ecode_10,snowball_payment_info,,text,Amazon link 10,,Copy and paste link.,,,,,"[screening_process_arm_1][sb_ecode_amount] = ""10""",,,,,,
